Quantity,Name,Code,PurchasePrice,Foil,Condition,Language,PurchaseDate
1,"Accomplished Automaton",KLD,0.12,0,0,3,2/12/2017
1,"Acrobatic Maneuver",KLD,0.13,0,0,3,13/12/2017
4,"Admiral's Order",RIX,0.65,0,0,0,5/4/2018
1,"Aegis Automaton",AER,0.12,0,0,0,2/12/2017
2,"Aegis Automaton",AER,0.12,0,0,3,13/1/2018
1,"Aerial Responder",KLD,0.23,0,0,0,30/11/2017
2,"Aerial Responder",KLD,0.23,0,0,3,13/12/2017
1,"Aeronaut Admiral",AER,0.21,0,0,0,2/12/2017
2,"Aether Chaser",AER,0.15,0,0,0,2/12/2017
1,"Aether Chaser",AER,0.15,0,0,3,25/12/2017
1,"Aether Herder",AER,0.13,0,0,0,2/12/2017
2,"Aether Hub",KLD,0.39,0,0,0,31/5/2018
1,"Aether Hub",KLD,1.85,0,0,0,30/11/2017
1,"Aether Hub",KLD,6.0,1,0,0,15/2/2018
1,"Aether Hub",KLD,1.16,1,0,3,15/4/2018
2,"Aether Inspector",AER,0.12,0,0,0,2/12/2017
1,"Aether Meltdown",KLD,0.22,0,0,3,13/12/2017
1,"Aether Poisoner",AER,0.14,0,0,0,2/12/2017
2,"Aether Swooper",AER,0.14,0,0,0,2/12/2017
2,"Aether Theorist",KLD,0.12,0,0,0,30/11/2017
2,"Aether Tradewinds",KLD,0.12,0,0,3,13/12/2017
1,"Aetherborn Marauder",KLD,0.2,0,0,3,2/12/2017
1,"Aethergeode Miner",AER,0.34,0,0,0,2/12/2017
1,"Aetherstorm Roc",KLD,0.29,0,0,3,2/12/2017
1,"Aetherstream Leopard",AER,0.13,0,0,0,2/12/2017
1,"Ahn-Crop Crasher",AKH,0.32,0,0,3,2/12/2017
1,"Air Elemental",W17,0.29,0,0,3,2/12/2017
1,"Airdrop Aeronauts",AER,0.16,1,0,3,25/1/2018
1,"Ajani Unyielding",AER,2.99,0,0,0,2/12/2017
1,"Alley Evasion",AER,0.13,0,0,0,2/12/2017
1,"Alley Evasion",AER,0.13,0,0,3,2/12/2017
1,"Alley Evasion",AER,0.14,0,0,3,13/1/2018
2,"Alley Strangler",AER,0.13,0,0,0,2/12/2017
1,"Ancient Crab",AKH,0.13,0,0,3,2/12/2017
2,"Angler Drake",AKH,0.2,0,0,3,2/12/2017
4,"Animation Module",KLD,0.25,0,0,0,25/2/2018
1,"Appetite for the Unnatural",KLD,0.14,0,0,0,30/11/2017
1,"Aradara Express",KLD,0.12,0,0,3,4/1/2018
1,"Arborback Stomper",KLD,0.19,0,0,0,30/11/2017
1,"Arborback Stomper",KLD,0.19,0,0,3,2/12/2017
1,"Attune with Aether",KLD,0.24,0,0,0,28/12/2017
2,"Audacious Infiltrator",AER,0.13,0,0,0,2/12/2017
2,"Augmenting Automaton",AER,0.13,0,0,0,2/12/2017
1,"Aviary Mechanic",KLD,0.12,0,0,3,2/12/2017
1,"Baleful Ammit",AKH,0.23,0,0,3,2/12/2017
3,"Ballista Charger",KLD,0.07,0,0,3,15/2/2018
1,"Ballista Charger",KLD,0.35,1,0,0,30/11/2017
1,"Baral's Expertise",AER,0.0,1,0,0,5/4/2018
2,"Baral, Chief of Compliance",AER,4.5,0,0,0,2/12/2017
1,"Barricade Breaker",AER,0.23,0,0,3,15/4/2018
1,"Bastion Enforcer",AER,0.1,0,0,0,2/12/2017
1,"Bastion Enforcer",AER,0.11,0,0,3,13/1/2018
2,"Bastion Inventor",AER,0.13,0,0,0,2/12/2017
1,"Bastion Inventor",AER,0.13,0,0,3,2/12/2017
1,"Bastion Mastodon",KLD,0.11,0,0,3,4/1/2018
1,"Befuddle",DOM,0.14,1,0,3,22/4/2018
1,"Bitterblade Warrior",AKH,0.13,0,0,3,2/12/2017
1,"Bloodhunter Bat",W17,0.29,0,0,3,2/12/2017
1,"Bloodlust Inciter",AKH,0.12,0,0,3,2/12/2017
1,"Blossoming Defense",KLD,1.54,0,0,3,2/12/2017
2,"Bomat Courier",KLD,0.54,0,0,3,25/3/2018
1,"Botanical Sanctum",KLD,5.37,0,0,3,29/4/2018
1,"Brazen Scourge",KLD,0.2,0,0,3,2/12/2017
2,"Built to Last",KLD,0.11,0,0,0,28/12/2017
1,"Built to Last",KLD,0.11,0,0,3,2/12/2017
1,"Cartouche of Ambition",AKH,0.13,0,0,3,2/12/2017
1,"Cartouche of Knowledge",AKH,0.14,0,0,3,2/12/2017
2,"Cartouche of Solidarity",AKH,0.15,0,0,3,2/12/2017
2,"Cartouche of Strength",AKH,0.14,0,0,3,2/12/2017
2,"Cartouche of Zeal",AKH,0.15,0,0,3,2/12/2017
1,"Cataclysmic Gearhulk",KLD,1.4,0,0,0,30/11/2017
1,"Cathartic Reunion",KLD,0.16,0,0,0,30/11/2017
1,"Cathartic Reunion",KLD,0.15,0,0,3,13/12/2017
1,"Cathartic Reunion",KLD,0.16,0,0,3,2/12/2017
2,"Caught in the Brights",AER,0.13,0,0,0,2/12/2017
1,"Censor",AKH,1.5,0,0,3,2/12/2017
1,"Chandra's Pyrohelix",KLD,0.13,0,0,0,30/11/2017
1,"Chandra's Pyrohelix",KLD,0.14,0,0,0,28/12/2017
1,"Chandra's Pyrohelix",KLD,0.13,0,0,3,2/12/2017
1,"Chandra's Revolution",AER,0.12,0,0,0,2/12/2017
1,"Chandra's Revolution",AER,0.12,0,0,3,2/12/2017
1,"Chandra's Revolution",AER,0.14,0,0,3,13/1/2018
1,"Chief of the Foundry",KLD,0.19,0,0,0,30/11/2017
1,"Chief of the Foundry",KLD,0.07,0,0,3,15/2/2018
1,"Chief of the Foundry",KLD,0.18,0,0,3,13/12/2017
1,"Chief of the Foundry",KLD,0.49,1,0,0,30/11/2017
2,"Cinder Barrens",AKH,0.11,0,0,3,2/12/2017
2,"Cogwork Assembler",AER,0.22,0,0,3,2/12/2017
1,"Cogworker's Puzzleknot",KLD,0.13,0,0,0,30/11/2017
1,"Cogworker's Puzzleknot",KLD,0.14,0,0,0,28/12/2017
2,"Cogworker's Puzzleknot",KLD,0.2,0,0,3,15/4/2018
1,"Commencement of Festivities",KLD,0.13,0,0,0,30/11/2017
2,"Commencement of Festivities",KLD,0.13,0,0,3,13/12/2017
2,"Compulsory Rest",AKH,0.13,0,0,3,2/12/2017
1,"Consulate Crackdown",AER,0.28,0,0,0,2/12/2017
1,"Consulate Skygate",KLD,0.13,0,0,0,30/11/2017
1,"Contraband Kingpin",KLD,0.21,0,0,0,30/11/2017
2,"Conviction",AER,0.13,0,0,0,2/12/2017
1,"Conviction",AER,0.14,0,0,3,13/1/2018
2,"Countless Gears Renegade",AER,0.14,0,0,0,2/12/2017
1,"Countless Gears Renegade",AER,0.13,0,0,3,25/12/2017
2,"Crocodile of the Crossing",AKH,0.2,0,0,3,2/12/2017
2,"Cruel Finality",AER,0.12,0,0,0,2/12/2017
2,"Cruel Finality",AER,0.13,0,0,3,13/1/2018
1,"Curio Vendor",KLD,0.12,0,0,0,28/12/2017
1,"Curio Vendor",KLD,0.12,0,0,3,2/12/2017
1,"Curio Vendor",KLD,0.14,0,0,3,4/1/2018
1,"Cursed Minotaur",AKH,0.14,0,0,3,2/12/2017
1,"Daring Demolition",AER,0.13,0,0,3,2/12/2017
1,"Dawnfeather Eagle",AER,0.13,0,0,0,2/12/2017
1,"Decision Paralysis",AKH,0.12,0,0,3,2/12/2017
1,"Decoction Module",KLD,0.76,1,0,3,13/12/2017
1,"Decommission",AER,0.14,0,0,0,2/12/2017
2,"Defiant Salvager",AER,0.13,0,0,0,2/12/2017
1,"Dematerialize",ODY,0.0,0,0,3,9/4/2018
1,"Depala, Pilot Exemplar",KLD,0.62,1,0,0,24/4/2018
1,"Dhund Operative",KLD,0.11,0,0,0,30/11/2017
1,"Dhund Operative",KLD,0.12,0,0,0,28/12/2017
2,"Dhund Operative",KLD,0.11,0,0,3,13/12/2017
1,"Dhund Operative",KLD,0.13,0,0,3,4/1/2018
1,"Dhund Operative",KLD,0.09,1,0,3,28/2/2018
1,"Diabolic Tutor",KLD,0.24,0,0,0,28/12/2017
2,"Disallow",AER,5.0,0,0,0,15/2/2018
2,"Disallow",AER,3.37,0,0,3,5/4/2018
1,"Disallow",AER,5.99,0,1,3,15/2/2018
2,"Dispersal Technician",AER,0.12,0,0,0,2/12/2017
1,"Dispersal Technician",AER,0.13,0,0,3,25/12/2017
1,"Divine Verdict",W17,0.25,0,0,3,2/12/2017
1,"Djeru's Resolve",AKH,0.13,0,0,3,2/12/2017
1,"Doomed Dissenter",AKH,0.14,0,0,3,2/12/2017
1,"Dream Tides",VIS,0.0,0,0,0,5/4/2018
2,"Druid of the Cowl",AER,0.14,0,0,0,2/12/2017
3,"Druid of the Cowl",AER,0.14,0,0,3,13/1/2018
1,"Druid of the Cowl",AER,0.5,1,0,0,2/12/2017
1,"Dukhara Peafowl",KLD,0.11,0,0,3,2/12/2017
1,"Dukhara Scavenger",KLD,0.11,0,0,3,13/12/2017
1,"Durable Handicraft",KLD,0.18,0,0,3,2/12/2017
1,"Eager Construct",KLD,0.12,0,0,0,30/11/2017
1,"Eager Construct",KLD,0.12,0,0,3,2/12/2017
2,"Eddytrail Hawk",KLD,0.11,0,0,3,2/12/2017
2,"Electrify",AKH,0.14,0,0,3,2/12/2017
1,"Electrostatic Pummeler",KLD,0.37,0,0,0,21/2/2018
1,"Electrostatic Pummeler",KLD,0.53,0,0,3,2/12/2017
2,"Elegant Edgecrafters",KLD,0.18,0,0,0,30/11/2017
1,"Eliminate the Competition",KLD,0.29,0,0,3,13/12/2017
1,"Embraal Gear-Smasher",AER,0.13,0,0,3,2/12/2017
1,"Empyreal Voyager",KLD,0.18,0,0,3,2/12/2017
2,"Enraged Giant",AER,0.2,0,0,3,2/12/2017
1,"Essence Extraction",KLD,0.22,0,0,0,30/11/2017
1,"Essence Scatter",AKH,0.07,0,0,3,9/3/2018
1,"Essence Scatter",AKH,0.15,0,0,3,2/12/2017
3,"Evolving Wilds",AKH,0.15,0,0,3,2/12/2017
1,"Experimental Aviator",KLD,0.19,0,0,3,4/1/2018
1,"Fabrication Module",KLD,0.22,0,0,3,2/12/2017
2,"Fan Bearer",AKH,0.13,0,0,3,2/12/2017
2,"Fatal Push",AER,5.0,0,0,0,25/2/2018
1,"Fateful Showdown",KLD,0.3,0,0,3,2/12/2017
2,"Felidar Guardian",AER,0.26,0,0,0,2/12/2017
1,"Fen Hauler",AER,0.13,0,0,0,2/12/2017
1,"Fen Hauler",AER,0.13,0,0,3,25/12/2017
